id,category,category_label,asset_kind,source_deck_name,source_deck,source_slide,source_shape_id,source_shape_name,shape_type,auto_shape_type,width,height,rotation,occurrences,preview,asset_png,keywords
line-0004,lines,线条,native_editable,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,84,top-blue-rule,9,-2,1254.0,0.0,0.0,1,previews/line-0004.png,,top|blue|rule|识别3|knight可编辑复刻.pptx
line-0005,lines,线条,native_editable,李佳3_视觉OCR快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳3-fast-vision\李佳3_视觉OCR快速可编辑复刻.pptx,1,99,evolution_rise_2,1,1,3.0,42.75,0.0,1,previews/line-0005.png,,evolution|rise|2|李佳3|视觉ocr快速可编辑复刻.pptx
line-0006,lines,线条,native_editable,李佳3_视觉OCR快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳3-fast-vision\李佳3_视觉OCR快速可编辑复刻.pptx,1,125,footer_separator,9,-2,0.0,33.0,0.0,1,previews/line-0006.png,,footer|separator|李佳3|视觉ocr快速可编辑复刻.pptx
line-0007,lines,线条,native_editable,七页原图批量可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\sources-batch\七页原图批量可编辑复刻.pptx,4,49,auto_rule_4,1,1,1254.0,1.5,0.0,3,previews/line-0007.png,,auto|rule|4|七页原图批量可编辑复刻.pptx
line-0008,lines,线条,native_editable,识别2-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize2-rebuild\识别2-Knight可编辑复刻.pptx,1,21,metric-divider-01,9,-2,243.75,0.0,0.0,2,previews/line-0008.png,,metric|divider|01|识别2|knight可编辑复刻.pptx
line-0009,lines,线条,native_editable,识别2-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize2-rebuild\识别2-Knight可编辑复刻.pptx,1,3,top-left-white-dash,9,-2,20.25,0.0,0.0,1,previews/line-0009.png,,top|left|white|dash|识别2|knight可编辑复刻.pptx
line-0010,lines,线条,native_editable,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,3,top-left-white-dash,9,-2,25.5,0.0,0.0,1,previews/line-0010.png,,top|left|white|dash|识别3|knight可编辑复刻.pptx
line-0011,lines,线条,native_editable,七页原图批量可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\sources-batch\七页原图批量可编辑复刻.pptx,5,7,auto2_line_5_0,1,1,69.0,3.0,0.0,5,previews/line-0011.png,,auto2|line|5|0|七页原图批量可编辑复刻.pptx
line-0012,lines,线条,native_editable,李佳3_视觉OCR快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳3-fast-vision\李佳3_视觉OCR快速可编辑复刻.pptx,1,128,header_rule,9,-2,1185.75,0.0,0.0,1,previews/line-0012.png,,header|rule|李佳3|视觉ocr快速可编辑复刻.pptx
line-0013,lines,线条,native_editable,李佳3_视觉OCR快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳3-fast-vision\李佳3_视觉OCR快速可编辑复刻.pptx,1,101,evolution_rise_3,1,1,3.0,82.5,0.0,1,previews/line-0013.png,,evolution|rise|3|李佳3|视觉ocr快速可编辑复刻.pptx
